Date,Exchange,Volume_USD_Millions,Volume_ETH
2024-09-14,Coinbase,4880.11,1.17
2024-09-14,Kraken,2116.21,0.49
2024-09-14,OKX,4907.46,1.15
2024-09-14,Bybit,5485.38,1.31
2024-09-14,Huobi,3348.37,0.78
2024-09-15,Binance,11562.9,2.68
2024-09-15,Coinbase,6210.78,1.47
2024-09-15,Kraken,3733.4,0.86
2024-09-15,OKX,5562.94,1.3
2024-09-15,Bybit,4270.19,0.98
2024-09-15,Huobi,2914.04,0.69
2024-09-16,Binance,14913.61,3.48
2024-09-16,Coinbase,8971.33,2.07
2024-09-16,Kraken,4194.58,1.0
2024-09-16,OKX,5794.17,1.39
2024-09-16,Bybit,7872.53,1.78
2024-09-16,Huobi,3241.95,0.75
2024-09-17,Binance,12118.54,2.84
2024-09-17,Coinbase,6386.3,1.48
2024-09-17,Kraken,5189.0,1.2
2024-09-17,OKX,8121.29,1.88
2024-09-17,Bybit,5382.93,1.25
2024-09-17,Huobi,4015.93,0.93
2024-09-18,Binance,14786.45,3.5
2024-09-18,Coinbase,7129.77,1.65
2024-09-18,Kraken,2655.78,0.61
2024-09-18,OKX,3538.62,0.82
2024-09-18,Bybit,5061.26,1.16
2024-09-18,Huobi,4077.4,0.94
2024-09-19,Binance,17211.93,4.04
2024-09-19,Coinbase,8354.13,1.92
2024-09-19,Kraken,5969.09,1.35
2024-09-19,OKX,6680.43,1.53
2024-09-19,Bybit,4997.62,1.2
2024-09-19,Huobi,4180.9,0.97
2024-09-20,Binance,15980.98,3.77
2024-09-20,Coinbase,7438.58,1.71
2024-09-20,Kraken,4985.98,1.19
2024-09-20,OKX,8585.49,1.92
2024-09-20,Bybit,8091.11,1.79
2024-09-20,Huobi,4090.37,0.9
2024-09-21,Binance,7818.44,1.77
2024-09-21,Coinbase,4665.63,1.11
2024-09-21,Kraken,3101.04,0.74
2024-09-21,OKX,3710.38,0.87
2024-09-21,Bybit,5369.68,1.23
2024-09-21,Huobi,2108.48,0.48
2024-09-22,Binance,10723.31,2.45
2024-09-22,Coinbase,4119.31,0.92
2024-09-22,Kraken,4076.97,0.94
2024-09-22,OKX,5543.22,1.26
2024-09-22,Bybit,5397.65,1.24
2024-09-22,Huobi,2081.21,0.49
2024-09-23,Binance,14654.46,3.31
2024-09-23,Coinbase,6335.22,1.42
2024-09-23,Kraken,4255.08,0.97
2024-09-23,OKX,7027.97,1.64
2024-09-23,Bybit,7442.42,1.69
2024-09-23,Huobi,3529.96,0.82
2024-09-24,Binance,18044.79,4.14
2024-09-24,Coinbase,9780.99,2.24
2024-09-24,Kraken,4262.08,0.96
2024-09-24,OKX,7702.77,1.79
2024-09-24,Bybit,4872.31,1.11
2024-09-24,Huobi,4591.63,1.07
